age,gender,region,sessions_per_day,past_engagement,device_type,app_version,notification_sent,pop_up_rem,notification_opened,engagement
41,Female,EU,2,91.83487951079331,Android,1,0,1,0,15.293145076317327
47,Female,EU,2,37.84088794467125,iOS,1,0,0,0,14.011740026771418
60,Female,US,3,30.321453483747046,iOS,2,0,0,0,1.1290233495271709
32,Male,Asia,3,31.66917778799847,iOS,3,1,0,0,15.619060998470003
39,Male,US,7,75.05168201071767,Android,1,0,0,0,4.057056404683609
25,Female,EU,6,21.944698535278736,iOS,2,1,1,1,34.74524258788088
53,Male,EU,1,39.261253174133444,Android,2,1,0,1,16.198742203548125
21,Female,US,4,47.454919560743626,Android,1,0,1,0,5.318360073651535
39,Male,US,3,85.68351422165348,Android,3,1,0,1,30.039333616629218
35,Male,US,1,63.454970305149075,Android,1,0,0,0,13.984999277595989
45,Female,EU,4,37.60593445720426,iOS,1,0,1,0,22.477016709025854
22,Female,EU,6,25.618875929949525,iOS,2,0,1,0,11.405278807339055
21,Male,US,2,4.3489048694168,iOS,3,0,0,0,6.464580320251031
51,Female,Asia,1,24.825531327364907,iOS,1,1,0,1,26.718433184615364
52,Female,EU,4,100.8274012040867,iOS,2,1,0,1,43.75795093765339
41,Female,EU,1,11.343771656612452,Android,1,0,0,0,14.938598596952795
40,Male,Asia,3,27.818212675888965,Android,1,0,0,0,9.813776563715582
43,Female,Asia,3,46.79881706060274,Android,3,0,0,0,13.96583391211992
23,Female,EU,1,51.69218393268178,iOS,3,0,1,0,6.116894492292479
23,Male,US,6,67.05528546118917,iOS,3,0,0,0,13.005262382928992
19,Female,US,6,126.74852347193509,Android,3,0,1,1,24.218270671117374
20,Male,US,4,120.52888860807165,Android,2,1,0,0,18.140815596179916
38,Female,US,3,41.892209763878206,iOS,1,0,0,1,29.04663877465519
19,Male,EU,4,55.61345385651759,iOS,3,1,1,1,30.094068425900563
55,Female,US,3,64.01700759349652,Android,2,1,0,1,21.32324244676659
27,Male,EU,3,64.88942557941647,Android,2,0,0,0,13.459607871825265
57,Male,EU,4,82.57151960589738,Android,2,1,1,1,25.339046165700793
22,Female,Asia,3,63.99384650448947,Android,2,0,1,0,10.14904018486902
50,Female,Asia,1,86.69146926427283,Android,2,0,0,1,19.639685601219092
56,Male,US,3,73.06733738315747,iOS,1,1,0,0,19.54802591642308
53,Male,EU,3,132.29842855147763,iOS,1,1,0,1,25.79619414156497
59,Female,EU,0,1.5893145844311456,iOS,3,0,0,1,27.06301404418494
26,Male,US,5,161.47460940433186,iOS,1,0,0,0,9.531033959558325
46,Male,EU,3,112.88244834061527,Android,2,1,1,1,9.153199138473
29,Male,EU,4,24.27603545311022,Android,1,0,1,1,4.102788883380649
37,Female,EU,6,104.56128771582354,iOS,2,1,0,0,22.64653720510782
26,Male,US,2,78.13813141080583,Android,3,0,0,1,21.277288409449064
60,Female,EU,1,61.66212668807959,Android,1,0,0,0,9.1642750135697
52,Female,EU,1,73.35271423239335,Android,2,0,1,0,18.52373988486884
46,Male,US,7,42.417612286504834,iOS,2,0,1,1,23.149366151407087
33,Female,EU,2,54.83399064971816,Android,2,0,1,1,30.779321541221215
54,Male,EU,6,132.1341587509812,Android,2,1,0,0,22.68631701006592
45,Male,EU,6,18.724700172587582,Android,2,0,0,0,17.71944595208083
22,Female,EU,5,18.127722482467163,Android,2,0,1,1,19.789270669295416
45,Female,US,3,53.92878325291778,Android,2,0,1,0,2.7692650448960636
19,Female,Asia,3,44.40083045681202,Android,2,0,1,1,8.779874136431822
35,Female,US,4,49.1469825763191,iOS,2,0,1,1,21.724844840187725
41,Male,US,3,6.644960264930854,iOS,1,0,0,0,9.150728589643911
35,Female,US,5,109.35304277764456,Android,3,0,1,1,22.168336179188625
22,Male,EU,1,12.010733790590498,iOS,2,0,1,1,15.982339899657488
57,Female,EU,2,7.412644954229309,Android,1,0,0,0,9.512673797392157
57,Female,Asia,3,52.56020918308196,iOS,2,0,0,0,3.2645589819956013
38,Female,US,1,53.82138429938917,iOS,2,0,0,1,26.049232389775838
53,Female,EU,3,104.37461755513635,Android,1,1,1,1,27.433657942027203
53,Female,EU,3,53.54725035311403,Android,2,1,0,0,6.459817252879688
56,Male,US,2,79.80677808014605,Android,3,0,0,0,27.98346567996312
59,Male,Asia,2,76.65037618303745,iOS,3,1,0,1,20.976151390092255
35,Male,US,2,87.22320548095102,Android,2,1,1,1,24.296446277443785
44,Female,US,2,30.295834152784288,Android,2,0,1,0,6.838044236457705
30,Female,EU,2,59.48066386408513,iOS,1,0,1,0,6.450064413735431
36,Female,Asia,5,137.38184820089592,Android,2,1,0,0,18.983883226990073
49,Female,Asia,5,20.432312279278207,iOS,3,0,1,1,21.044456747911113
33,Female,Asia,6,63.582103205565765,Android,1,0,0,0,14.370217816128935
46,Female,US,1,69.49664632495215,iOS,3,1,1,1,45.264905813846966
34,Female,US,2,99.09302348895142,Android,2,0,1,1,16.20309243301187
26,Male,EU,3,8.161003152028314,iOS,2,1,1,1,26.789608047773694
38,Female,EU,4,21.836952981530892,iOS,1,0,0,0,12.1690721898687
60,Male,EU,3,82.38373640683531,iOS,2,1,1,1,23.405276820311315
25,Male,Asia,7,57.86186763354171,Android,3,1,0,1,18.54615099076166
46,Female,US,2,102.07253474724803,iOS,3,1,0,1,45.43856238833358
55,Male,US,5,16.418713395422532,iOS,2,0,0,0,13.651672859378566
18,Male,US,4,46.01079350118509,iOS,2,0,1,1,20.949473272444244
30,Female,EU,3,93.12558684694838,iOS,2,1,0,0,15.072539865483847
31,Male,EU,6,103.81241188913647,iOS,2,1,1,1,31.913255919350124
22,Female,EU,3,49.79513200267645,Android,1,0,0,0,11.390783670119935
26,Male,US,3,27.85301415661308,iOS,3,0,1,1,31.437627294620167
33,Female,US,0,6.212145235430697,Android,1,0,0,1,10.318421174746387
43,Male,US,2,106.24474926696702,Android,2,0,0,0,8.770043753228228
60,Female,EU,3,140.85081722358075,Android,3,0,1,0,6.534861477372993
59,Male,US,3,132.12084184638204,Android,2,1,0,1,24.216662008357446
59,Female,Asia,1,83.74123035219623,Android,1,0,1,1,21.287818422142955
50,Female,EU,3,43.86117864616866,Android,1,0,1,0,0.23939870813490316
46,Female,US,2,113.33526757687952,iOS,2,0,0,0,8.107175735370259
42,Male,US,5,65.70906475023992,iOS,2,1,0,0,21.13472972221316
49,Male,US,6,128.08901947184364,iOS,3,0,1,1,35.86251318935583
34,Male,US,2,50.528840264917086,iOS,2,0,1,0,0.8781345394364362
31,Female,US,3,20.542476639113872,Android,3,0,0,0,5.7428474500678055
23,Male,EU,3,17.69378530123127,Android,1,0,1,0,10.600166677732863
60,Male,EU,2,43.96682987626548,iOS,2,0,0,1,25.34760903340859
54,Male,EU,3,77.38095188981885,Android,2,1,1,1,26.772161632970914
33,Male,EU,1,34.521735300131404,iOS,3,0,0,0,19.76793686192073
48,Female,US,1,22.244642213217546,iOS,1,0,1,0,16.28814299582754
51,Male,US,4,107.53211712198265,Android,2,1,1,1,28.755815944248802
47,Male,EU,4,36.096629608476874,Android,1,0,1,1,21.215167820101335
49,Female,US,3,11.091349296293167,iOS,2,0,0,0,6.858698872527243
23,Male,EU,2,141.70756234843552,Android,2,0,1,1,18.556660267108963
39,Female,Asia,3,45.352326588093106,iOS,1,1,0,0,17.394086193191985
55,Female,US,4,101.25559839870486,Android,1,1,1,1,39.36261644236628
48,Female,Asia,3,39.99138238070509,iOS,2,0,1,0,6.898251207399231
23,Male,EU,1,29.374947495914274,iOS,1,1,1,1,20.612716361396085
37,Female,Asia,3,54.192178995974615,iOS,2,0,0,0,15.120807436709017
32,Male,Asia,3,6.226565839850347,Android,2,1,1,0,6.815326222735482
51,Male,EU,5,54.83841354652146,iOS,2,0,1,1,17.849411256001137
59,Female,EU,4,93.97902744347219,Android,1,0,1,1,19.157596970940997
40,Female,US,3,19.853955984969488,Android,1,0,0,0,12.081614794512081
29,Female,US,5,132.09186990136482,Android,3,1,0,1,25.140535376324152
43,Female,EU,1,24.895448320343014,iOS,2,0,0,1,27.195880823284863
58,Male,EU,1,25.17783890351439,Android,1,0,1,1,15.569807228000851
18,Female,US,3,143.13518217373908,iOS,2,1,0,1,42.907527339421094
19,Female,EU,3,154.8833422679212,iOS,1,1,0,0,16.170369329265025
41,Male,EU,1,72.24251009091387,iOS,1,0,0,0,8.752918217709748
51,Female,US,1,49.1577743527005,Android,2,0,1,1,15.624345597717339
42,Male,Asia,3,40.99387762898522,iOS,3,0,1,1,20.954833321046493
45,Male,Asia,0,121.0489473986922,Android,2,1,0,0,19.802052263025722
60,Male,Asia,1,61.978478129066005,Android,2,1,1,0,10.471590975265634
31,Female,Asia,2,35.70854366098696,Android,3,0,1,0,15.550158389323641
51,Male,Asia,4,23.621298958933068,Android,3,0,1,1,16.434907601019997
19,Female,US,1,34.86407300229192,iOS,2,0,0,1,22.110104830662053
48,Female,US,2,10.894417142410612,Android,2,0,1,0,3.2633968415883565
49,Male,EU,4,17.473083319400285,iOS,3,0,1,0,12.11306774337053
44,Female,Asia,5,146.08072429842267,Android,2,0,1,1,11.891610681031645
27,Male,US,4,109.16769428832295,iOS,2,1,0,1,33.74930410095827
45,Female,US,3,53.816366620802725,Android,3,1,1,1,34.51125990701126
54,Female,EU,4,9.286105920971535,Android,3,0,1,1,27.8906440510349
27,Female,US,2,109.16220996163435,Android,2,1,0,1,33.09226392449763
22,Female,Asia,3,234.67002187333128,iOS,2,1,1,1,38.58896664790343
52,Female,EU,3,92.84809896551569,iOS,2,0,1,1,19.73207271449044
31,Female,Asia,3,31.072394073344455,Android,3,1,1,1,21.091715695253974
31,Male,EU,4,58.62736237184901,Android,1,1,1,0,15.928054378632593
45,Male,US,3,14.802413154032946,Android,2,0,1,0,12.796104514589317
50,Female,Asia,2,112.06272688427642,iOS,2,0,1,1,24.022223191067088
54,Female,US,3,67.90088648201022,Android,1,0,0,0,15.427694691889622
52,Male,EU,6,73.19897613225717,Android,1,1,0,0,9.096452782007894
43,Female,EU,3,44.69611491469811,Android,2,0,1,1,28.31687723930334
48,Male,Asia,1,23.270026571996116,iOS,1,1,0,0,12.599660400954546
60,Male,Asia,1,54.366776134353465,iOS,2,1,1,0,13.430633689697236
49,Male,US,3,16.481887865777715,iOS,2,0,1,0,12.431862195152886
34,Male,EU,3,24.588602301306004,iOS,2,1,1,1,20.017863725979797
44,Female,US,3,78.27147776887914,iOS,2,0,1,1,31.24847549383791
47,Male,EU,8,54.275381228566665,iOS,1,0,1,1,20.093481928152833
53,Male,EU,1,17.66841658117313,iOS,3,0,1,1,27.872079524370715
37,Male,EU,2,4.575475955933037,Android,2,0,0,0,12.073638777999905
28,Male,US,3,45.51783728838642,iOS,2,0,1,1,20.366090764281743
34,Female,US,1,124.58498781803374,Android,2,0,0,0,17.508056353252016
26,Female,Asia,4,114.99850416469432,Android,1,1,1,1,27.619315090470167
34,Male,US,2,64.56573360446181,Android,1,0,1,0,10.988849246648897
30,Female,EU,1,14.633568592172496,Android,2,0,0,0,10.822586713104222
48,Male,EU,3,62.22136851533601,iOS,3,0,1,1,24.83420465363392
18,Male,EU,1,113.45475486409421,Android,1,0,1,0,5.835159552583413
34,Male,Asia,0,41.64020085333629,Android,3,0,0,1,18.066921822939804
50,Female,EU,2,83.88123343706782,Android,1,1,0,0,19.04684690395346
45,Male,US,3,34.22068616619584,iOS,1,1,0,0,17.395573717351606
19,Female,US,2,45.68114933287276,Android,3,0,0,0,9.109043662436516
48,Male,US,1,77.7816570429027,iOS,3,0,1,0,9.954141270937571
25,Female,US,3,11.062722395400757,iOS,1,0,1,1,21.6743445462866
33,Male,Asia,5,155.84313755083608,Android,1,1,0,1,28.937228230022942
20,Male,US,2,117.06285760545467,Android,2,0,0,0,3.3971766488106816
54,Female,Asia,5,139.82619399948368,Android,2,0,1,1,9.606520810419354
30,Female,US,4,10.983042634908267,iOS,1,0,0,0,12.541274008840075
29,Male,US,3,127.16275789800777,iOS,2,1,0,0,10.603620471265598
18,Female,EU,10,113.98881106268608,iOS,2,0,1,0,6.4107299355885194
47,Male,EU,1,45.78856648799896,iOS,1,0,0,0,4.128454363920779
48,Male,EU,2,27.676807885921225,iOS,3,0,1,0,13.921046455702957
54,Male,US,2,69.57286705485281,iOS,2,1,1,1,43.02536250149839
23,Male,EU,4,85.66336396865553,Android,1,1,1,1,20.132314490757647
33,Female,EU,1,43.32216775442937,Android,2,0,0,1,20.829948106096943
27,Male,EU,3,74.92920413354523,Android,1,0,1,0,4.429836706162841
24,Male,US,5,42.51245334329657,iOS,2,1,0,1,32.434225831479914
26,Male,US,2,60.98008831354643,iOS,1,1,0,1,25.013662535281902
58,Female,EU,0,54.18765315029896,iOS,3,0,1,1,30.44464946726529
42,Female,US,1,79.59612172989134,iOS,2,1,1,1,35.58439495030164
20,Male,US,3,60.86714253092011,Android,3,0,0,1,23.72005015325622
35,Female,EU,2,67.57134654989433,Android,1,1,1,0,13.29627710849092
45,Female,Asia,5,35.250658267099766,Android,1,0,1,0,10.90156685008803
32,Female,Asia,3,126.31863457115078,Android,1,1,1,1,25.39326016601127
46,Female,US,2,78.8884216770562,iOS,3,1,0,1,32.207110209169805
37,Male,Asia,6,32.96723470132707,Android,3,0,0,0,3.052585809609079
42,Female,Asia,1,29.776894255263464,Android,3,0,1,1,20.628555881380553
33,Male,EU,0,26.402887675036236,Android,1,0,0,0,17.489804789377015
41,Male,EU,0,42.889488563027946,iOS,2,0,0,0,14.183443761036571
50,Male,EU,8,79.22354693434146,iOS,1,0,1,0,5.337394291851761
55,Female,US,2,38.047826053703254,iOS,2,1,0,1,30.964359006245658
60,Female,EU,1,69.09701267878951,iOS,3,0,1,1,16.653818301062792
58,Female,EU,1,143.96463140566416,iOS,2,0,1,1,21.65380677844217
39,Male,Asia,3,174.6590977429601,iOS,2,1,1,1,19.63655803634532
43,Male,Asia,4,7.774697228799494,Android,3,0,0,0,5.165209210146303
37,Female,US,3,73.06632510760808,Android,3,0,1,1,16.24485745928876
54,Female,US,6,66.22027834811621,iOS,2,1,0,1,33.873135746242255
60,Male,US,5,35.882955333324006,iOS,3,1,0,1,32.25603382133413
32,Female,US,1,64.7066553401934,Android,2,0,0,1,19.821661352851635
38,Female,US,2,39.704730152637666,Android,1,0,0,0,1.2515917981984366
51,Female,US,4,30.022010970890506,Android,2,0,1,0,8.763097923665708
42,Male,US,7,57.34112476981246,Android,3,0,1,0,16.179492261079506
55,Male,EU,1,26.610413981495576,Android,2,1,0,1,20.35121338324865
18,Male,Asia,3,210.81817908195438,Android,2,1,0,1,24.917208576139114
31,Male,US,3,21.5302438640061,Android,2,0,0,0,6.882873542057864
28,Female,EU,2,54.075957545285206,iOS,2,1,1,1,29.56041145960429
45,Female,EU,7,13.007547328814427,Android,2,0,0,1,19.869992392261757
35,Female,US,3,51.15871689908056,Android,2,0,1,0,13.048406476721743
51,Female,EU,1,159.2848790410517,Android,2,1,0,1,25.31536023977742
59,Male,EU,2,43.10573087043848,Android,3,0,0,1,6.533347206212893
53,Male,Asia,4,3.8589115830911394,Android,1,1,1,1,14.393556791260723
37,Female,US,1,220.75719673662763,Android,1,1,0,1,26.87412168508557
32,Female,EU,3,85.88369458020819,Android,2,0,0,0,17.13741800725635
24,Male,US,4,29.040145990605275,Android,1,0,0,1,19.352881895120774
44,Male,US,1,43.477905169872244,Android,2,0,0,0,7.647133726855845
47,Male,EU,3,21.59786904936723,Android,1,1,0,0,14.51498873588939
22,Female,US,6,21.034617556830163,Android,3,1,0,0,16.432974097984605
39,Male,EU,2,67.25002648251512,iOS,3,0,0,1,27.152314961103208
37,Male,US,4,142.69384494668802,Android,2,1,1,0,22.439721488714113
58,Male,US,1,28.756853246006823,iOS,2,1,0,0,20.723346697104468
28,Male,Asia,2,80.531189910858,iOS,2,0,0,1,21.576597366168443
45,Female,Asia,1,24.861273624243374,Android,1,0,0,0,7.667902419695701
55,Female,US,1,79.1140283636698,iOS,2,0,1,0,1.2617790408037894
59,Female,US,2,71.93844202068149,Android,2,0,1,0,-1.1975057520828116
26,Female,US,2,78.02319684644277,iOS,2,0,0,1,27.759817162951528
40,Male,EU,5,36.43302323111867,iOS,2,0,0,0,7.220758520268195
43,Male,Asia,3,8.016849164965066,Android,1,0,1,0,7.702689934587678
58,Female,EU,2,21.916583202132045,iOS,1,0,0,0,17.592573655547
28,Male,Asia,3,83.68628706629575,Android,2,0,0,0,2.4737941530742242
36,Male,US,2,214.1687645673085,Android,2,1,1,1,29.421875594782186
45,Male,US,3,27.510940654763914,Android,1,0,0,1,8.22658041958832
38,Male,Asia,2,29.90053830000927,iOS,1,1,0,0,18.906724951115002
53,Male,US,4,12.66685754986924,Android,1,0,0,0,14.02342732793202
59,Male,US,4,91.29702561813835,Android,3,1,1,1,31.302376249510445
39,Female,US,2,20.306293742911116,iOS,3,1,1,0,12.238196855571573
42,Male,US,2,40.6248975014687,iOS,1,0,0,1,12.640011459037376
47,Female,US,4,54.048250793642296,iOS,3,0,0,0,13.143926840839196
38,Female,Asia,7,89.34936042114866,Android,2,1,1,0,19.46780051148401
38,Male,Asia,1,101.99195627413854,iOS,1,1,0,1,16.48388436494438
23,Female,EU,2,35.651824058045975,iOS,2,0,0,1,29.801396857485546
58,Male,EU,3,170.4587775480688,Android,3,1,1,1,20.61212807515338
27,Female,Asia,1,57.08499922030751,Android,2,1,1,1,17.923355035124597
41,Male,US,3,54.4670592929415,iOS,2,0,1,1,20.867412856250382
24,Female,EU,5,128.01674557437966,iOS,3,1,1,0,16.71011428289313
31,Male,EU,6,6.289814922167642,iOS,2,0,0,0,13.700921633512282
29,Male,Asia,1,48.78323689536266,Android,2,0,0,1,9.063436450609546
27,Female,Asia,4,108.92274271880638,iOS,2,0,0,1,34.90368341309399
42,Female,EU,1,10.449162621005982,Android,2,1,1,1,20.001127789228835
54,Male,US,0,78.19429140416385,Android,2,0,1,1,14.162951829496427
19,Male,US,5,61.2690657489513,iOS,1,1,1,1,20.419357094030193
52,Male,EU,3,26.397225014569532,iOS,2,0,0,0,4.008959498881395
51,Female,Asia,3,49.805787199301776,Android,2,1,1,0,12.139323824168917
44,Female,US,4,42.70109185402537,Android,1,0,0,0,16.238506453077562
48,Female,EU,6,6.287184483965807,Android,1,0,0,0,12.583609531312415
44,Female,Asia,3,38.95956601254585,Android,2,0,1,1,15.094244256689588
33,Female,US,2,34.21938397652657,Android,2,0,0,0,8.168530604100237
53,Female,US,3,43.54215479399499,Android,2,1,0,1,31.335096999733015
41,Male,EU,3,97.62891935505422,Android,3,0,0,1,17.029466319784124
55,Male,Asia,1,184.09832589404732,Android,2,1,1,0,15.536561722322809
38,Female,US,1,12.550901392780823,Android,1,1,0,1,11.945766313060046
37,Female,US,3,19.716387905513415,Android,1,1,0,0,21.865426349194568
28,Female,US,2,78.85764179162354,Android,2,1,0,0,12.144602965080962
50,Female,EU,3,81.14539088845814,iOS,1,1,0,0,10.667052800453526
31,Male,EU,5,38.041543040680466,Android,2,1,1,1,21.030205551630324
45,Male,EU,8,26.78494858310866,iOS,2,0,0,0,1.628644795011243
50,Female,US,7,69.4028760432494,iOS,1,1,1,0,11.23226514144157
46,Male,EU,4,44.69443934111152,Android,2,1,0,0,8.275779921364363
53,Female,EU,2,58.48595177824554,Android,2,0,0,1,14.571770568419822
49,Female,US,3,91.79429277971057,Android,2,1,0,1,26.99704783100894
55,Male,US,4,34.41238220447872,iOS,3,1,0,1,35.4161089526416
39,Female,EU,6,52.83858266984723,Android,3,1,1,0,24.824426716125508
24,Female,EU,2,20.87742421227572,Android,1,0,0,0,3.9083672744254994
22,Female,EU,2,55.43860272541759,Android,2,0,0,1,22.477332291201154
48,Male,US,5,19.046192771911045,Android,2,0,1,1,14.287389669366929
49,Male,EU,1,40.96213060252624,Android,3,0,0,1,10.77372247517772
35,Male,US,4,43.15549016125415,Android,1,0,0,0,7.606664185526757
56,Male,Asia,4,12.580927300346948,Android,2,0,0,0,9.288510638697685
30,Male,Asia,2,56.78427646547548,Android,3,1,1,1,7.750175060453971
47,Female,EU,2,111.00127379836528,Android,2,1,0,1,36.066745586009404
19,Female,EU,2,23.621352132759842,Android,2,0,1,1,23.223692346795097
45,Female,Asia,8,35.39737620681679,Android,2,0,1,1,29.48148112110084
20,Male,US,2,62.790252566248846,Android,2,0,0,1,16.095505087312283
50,Female,US,1,37.87004855760384,Android,3,0,1,0,13.150941689174907
46,Female,EU,6,39.67390735005542,Android,2,0,0,0,9.846430437104301
37,Female,Asia,3,68.29459361572307,iOS,2,0,1,1,29.38507879928442
60,Male,US,3,203.3026714229887,Android,1,1,0,1,23.1590946710301
26,Female,EU,3,11.219655686095102,iOS,2,0,1,0,12.031762218318066
27,Female,US,0,49.16125019563948,Android,3,1,1,1,25.867024485474328
24,Female,US,2,56.245570259407856,iOS,1,0,0,1,24.993691638383073
45,Male,EU,2,113.47723057589256,Android,2,1,1,0,9.96656718398738
35,Female,EU,3,49.724294407446045,Android,2,0,0,0,9.201392016527
42,Female,US,2,77.20973486549921,iOS,3,0,0,0,14.88508639077483
27,Female,EU,5,1.8826685698538665,iOS,2,0,0,0,17.90105331738284
26,Male,Asia,6,14.060694109011832,iOS,1,1,1,0,9.240648043336066
36,Male,Asia,5,49.26015174519509,Android,2,1,0,0,6.458117544075775
32,Male,US,4,55.77774806885722,Android,2,0,1,0,7.370254008622474
20,Female,Asia,4,154.611781510494,Android,1,1,1,1,16.591474740478937
39,Female,US,5,36.61742811989578,Android,1,0,0,0,9.903908556897521
37,Female,EU,1,42.155165319577016,iOS,2,0,0,1,25.714715483174814
59,Female,EU,6,28.04364964925858,Android,3,0,1,1,20.557864997566426
51,Female,US,2,40.43531690087862,iOS,2,1,1,1,31.546662233806572
40,Male,EU,2,35.028005422193985,Android,2,0,0,0,15.711623193349622
34,Male,EU,3,34.460904623451505,Android,2,0,0,0,10.584843881735944
35,Male,EU,3,37.496731753177784,iOS,3,0,1,1,17.831459998565013
36,Female,EU,1,1.9103783420816363,Android,3,0,0,0,4.275432904196014
34,Male,Asia,4,35.841797180378535,iOS,2,0,1,0,10.833385852523271
47,Male,EU,3,48.08803839321854,iOS,1,0,1,0,7.749707354656289
27,Female,US,2,49.93566268795682,iOS,1,0,0,1,25.48846202380288
54,Female,US,3,68.16692019424652,Android,2,1,1,1,22.71747224226717
27,Male,US,4,128.75773206411012,Android,1,1,1,1,24.46048289709522
51,Female,US,1,81.93984020721936,iOS,2,0,1,1,18.72605196115146
21,Female,US,2,82.80188162189012,iOS,2,1,1,0,13.835456634646386
42,Female,US,3,61.87384082252774,iOS,2,0,0,1,22.466564402759296
43,Female,US,2,71.72999181363281,Android,1,0,0,1,11.97686260930968
56,Female,US,3,103.69093560304151,Android,3,1,0,1,28.01101987127094
50,Female,US,7,77.7225476058185,Android,3,1,1,1,37.97098757082891
39,Female,US,1,62.897484457170336,Android,2,1,1,0,13.803058362401522
36,Female,US,4,36.141303891344094,Android,1,0,1,0,10.133004536827805
23,Female,US,2,39.79446987139006,iOS,1,0,0,0,5.927329835770732
42,Female,US,1,31.459658404849307,iOS,3,0,0,0,8.706640721899406
47,Female,US,2,221.70162106202838,iOS,2,1,1,1,41.17537523237207
59,Male,EU,0,38.21498801166467,Android,2,0,1,1,12.081111183024518
56,Male,Asia,3,60.80923166928726,iOS,2,0,1,0,9.11069711398595
42,Female,US,3,15.323839904851113,iOS,3,0,0,0,12.70606798500604
19,Male,US,7,60.35315369304222,Android,2,0,1,1,18.979806388768445
55,Female,US,4,115.54688367925552,iOS,1,1,1,1,38.65567131146103
26,Female,EU,1,69.0167068764083,iOS,2,1,1,1,24.5483500645908
28,Male,EU,2,33.24877036144742,iOS,2,1,1,1,16.318161791647828
23,Female,US,4,99.28806604797897,Android,1,0,0,0,8.999085920880322
48,Female,Asia,1,16.065943353712807,iOS,2,0,1,0,9.787802644156711
22,Female,EU,7,54.26366655558998,Android,3,0,1,1,14.110563149707604
31,Male,US,5,65.40366230573743,Android,3,0,1,0,5.350058170646667
59,Female,Asia,1,45.816814617412064,Android,3,1,1,1,24.923745382409148
18,Female,US,3,17.55699734002658,Android,1,0,0,1,14.46130485980164
58,Male,US,5,44.901329276127434,Android,1,0,1,0,5.6505994695126764
27,Male,US,3,30.70244636228844,Android,3,0,0,0,14.798339511185265
29,Male,US,5,83.95479736151152,iOS,1,1,0,0,13.399415163121628
39,Female,US,4,63.76723665587655,Android,2,0,0,0,13.184175712402034
18,Male,US,6,22.923553370653412,iOS,2,1,0,0,10.015044925071836
60,Female,EU,0,66.93181747531024,Android,3,0,1,0,7.596534236942057
21,Female,EU,4,15.945775707982314,Android,2,0,1,1,17.957952855928028
20,Female,US,4,58.760834259420484,iOS,2,0,1,1,27.982547903253337
55,Male,EU,1,145.7773299466437,iOS,2,1,1,1,30.25772436037675
22,Female,EU,3,40.24795257800673,Android,3,0,1,1,25.092531970613813
59,Male,EU,3,26.828437450879456,Android,1,1,0,1,24.479060807384236
37,Female,EU,2,91.77253655393258,Android,1,0,0,0,15.850224256080644
51,Male,Asia,4,5.299452044570723,Android,2,0,0,0,11.664706898793865
40,Female,EU,2,41.45672931357378,Android,1,1,0,0,13.886318247625047
53,Female,EU,2,118.74390193521361,Android,2,0,0,1,25.125329184700803
37,Female,US,4,26.12140132292212,Android,2,0,1,1,18.998457236725407
26,Male,Asia,4,81.72472589640577,iOS,1,1,0,0,18.173136131128913
44,Male,Asia,5,17.597303929033746,Android,1,1,0,1,14.48259397835978
20,Male,US,4,60.92370775876412,iOS,1,0,1,1,16.37544230393168
