Country,Year,Industry,AI Adoption Rate (%),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%)
USA,2021,Manufacturing,83.4,24.27,34.95,47.21
USA,2021,Gaming,67.18,40.55,52.54,50.3
USA,2021,Marketing,56.81,15.98,69.17,51.21
USA,2021,Education,73.11,38.22,67.17,87.65
USA,2021,Education,87.79,28.82,74.04,70.58
Australia,2022,Gaming,89.96,25.11,74.04,51.67
Australia,2022,Retail,78.6,1.29,8.47,64.18
Canada,2022,Retail,67.15,8.92,19.32,40.95
Canada,2022,Healthcare,52.43,37.9,9.78,67.03
Canada,2022,Legal,27.53,29.08,13.91,52.29
Canada,2022,Automotive,11.14,43.11,50.61,78.2
China,2022,Media,26.27,21.79,3.37,65.36
China,2022,Automotive,46.72,15.77,75.69,38.2
China,2022,Finance,39.48,25.56,55.14,20.82
France,2022,Media,49.97,22.61,17.55,34.97
France,2022,Retail,43.32,22.13,61.74,33.94
Germany,2022,Education,43.85,32.07,73.68,74.08
Germany,2022,Finance,87.95,12.61,3.82,25.44
India,2022,Automotive,28.48,18.44,23.5,35.14
India,2022,Media,68.39,1.41,68,35.05
Japan,2022,Healthcare,62.98,27.51,27.51,53.78
Japan,2022,Manufacturing,41.28,10.33,6.67,40.15
Japan,2022,Legal,57.35,37.36,17.2,20.37
Japan,2022,Manufacturing,28.6,40.02,32.2,22.45
Japan,2022,Healthcare,46.79,15.36,49.09,37.15
Japan,2022,Media,20.14,20.68,52.01,37.02
South Korea,2022,Media,44.29,16.77,46.12,74.79
South Korea,2022,Gaming,74.66,8.89,6.35,58.99
UK,2022,Automotive,80.83,42.39,51.87,74.39
UK,2022,Gaming,89.74,10.14,3.8,33.44
UK,2022,Marketing,73.89,47.25,68.91,60.15
UK,2022,Automotive,11.99,21.71,5.14,66.59
UK,2022,Gaming,30.18,18.39,14.76,49.67
USA,2022,Automotive,81.06,10.66,45.6,39.66
USA,2022,Manufacturing,44.61,49.34,58.53,75.29
USA,2022,Gaming,93,12.92,55.65,51
Australia,2023,Media,68.23,6.2,53.13,53.16
Australia,2023,Retail,91.41,6.67,71.61,54.73
Australia,2023,Marketing,18.43,2.75,12.96,54.31
Australia,2023,Automotive,45.35,33.21,50.5,41.73
Canada,2023,Media,61.49,48.25,20.74,47.72
Canada,2023,Gaming,31.96,28.25,56.09,79.12
China,2023,Legal,66.93,3.23,0.85,71.52
China,2023,Finance,27.02,25.44,8.51,68.6
China,2023,Healthcare,80.75,32.2,14.67,61.33
France,2023,Media,88.41,36.07,13.78,36.24
France,2023,Legal,48.39,1.2,17.95,61.69
France,2023,Marketing,65.77,39.94,79.44,43.73
Germany,2023,Healthcare,88.75,31.35,60.23,46.53
Germany,2023,Media,43.4,9.64,33.23,42.07
Germany,2023,Gaming,77.96,21.76,41.93,56.36
Germany,2023,Marketing,20.95,5.89,2.28,47.14
India,2023,Gaming,39.04,31.32,28.93,77.95
Japan,2023,Marketing,12.86,18.5,20.65,75.67
Japan,2023,Media,71.57,18.28,49.83,32.73
Japan,2023,Media,27.61,35.67,18.49,42.88
Japan,2023,Manufacturing,78.57,17.23,47.61,43.84
Japan,2023,Marketing,72.59,40.3,3.84,72.92
South Korea,2023,Marketing,74.81,22.3,52.34,84.8
South Korea,2023,Legal,75.42,28.82,42.27,54.72
South Korea,2023,Finance,83.74,33.55,1.75,64.79
UK,2023,Gaming,91.27,41.67,56.26,59.93
UK,2023,Education,82.82,22.34,1.44,40.39
USA,2023,Retail,11.94,26.28,73.93,57.55
USA,2023,Finance,83.2,40.84,22.58,82.54
Australia,2024,Automotive,78.21,6.54,76.76,87.8
China,2024,Manufacturing,48.54,34.88,66.31,60.28
France,2024,Finance,73.22,26.42,28.86,57.06
France,2024,Gaming,27.95,49.33,0.93,53.7
France,2024,Automotive,15.77,7.51,43.32,36.55
France,2024,Media,23.27,44.22,67.88,78.13
France,2024,Healthcare,77.33,23.6,23.16,84.93
Germany,2024,Healthcare,17.05,46.37,70.85,79.54
India,2024,Finance,50.27,6.51,30.02,20.76
India,2024,Marketing,55.3,3.21,11.15,48.72
India,2024,Media,15.2,45.44,16.62,31.27
India,2024,Gaming,44.17,42.79,49.74,74.11
India,2024,Healthcare,59.85,41.04,77.48,28.32
India,2024,Media,52.18,36.8,60.81,42.56
Japan,2024,Legal,67.94,8.84,51.06,23.04
Japan,2024,Manufacturing,82.72,23.56,50.08,24.06
Japan,2024,Marketing,88.16,2.86,26.45,47.53
South Korea,2024,Retail,26.63,49.58,1.75,72.35
South Korea,2024,Media,25.98,16.06,11.74,47.03
South Korea,2024,Legal,57.15,29.64,73.89,81.93
UK,2024,Gaming,77.52,14.58,67.9,66.23
UK,2024,Automotive,82.54,44.65,28.93,39.83
USA,2024,Marketing,32,0.09,40.67,32.98
Australia,2025,Gaming,62.64,37.25,43.72,20.21
Australia,2025,Finance,35.83,29.11,65.36,82.68
Canada,2025,Education,17.02,4.59,52.45,64.72
Canada,2025,Gaming,94.76,14.48,71.63,67.44
Canada,2025,Legal,82.25,30.99,76.88,57
Canada,2025,Marketing,78.43,26.41,4.72,33.28
China,2025,Legal,34.75,46.89,52.46,26.17
China,2025,Healthcare,25.5,15.07,40.81,64.86
China,2025,Legal,87.73,42.89,78.5,39.34
China,2025,Gaming,70.04,29.79,23.17,58.46
France,2025,Marketing,62.94,22.4,71.69,63.54
France,2025,Media,79.64,12.32,54.75,82.48
France,2025,Retail,29.61,24.68,46.92,57.21
India,2025,Retail,32.74,9.41,33.42,73.55
India,2025,Gaming,16.79,28.43,65.47,23.38
India,2025,Retail,68.21,9.32,57.89,61.89
India,2025,Retail,33.2,14.77,66.25,81.74
India,2025,Education,67.08,26.79,15.7,59.71
India,2025,Retail,76.35,3.82,0.73,70.78
India,2025,Legal,29.45,42.89,14.73,68.45
India,2025,Education,46.62,22.03,31.66,35.21
Japan,2025,Retail,44.97,32.93,18.56,24.81
Japan,2025,Retail,35.91,48.37,71.07,68.44
Japan,2025,Automotive,92.96,14.64,25.17,68.19
Japan,2025,Manufacturing,91.67,49.65,26.79,25.29
South Korea,2025,Healthcare,44.1,39.96,33.44,72.72
South Korea,2025,Legal,52.86,17.3,57.82,45.95
South Korea,2025,Healthcare,86.58,24.08,2.49,84.48
South Korea,2025,Gaming,81.86,28.46,7.11,63.48
UK,2025,Manufacturing,64.87,36.31,38.16,82.41
UK,2025,Gaming,28.27,3.19,6.12,49.89
UK,2025,Healthcare,83.85,22.88,59.43,66.73
USA,2025,Gaming,49.71,14.09,12.41,40.18
USA,2025,Media,33.23,12.61,63.58,77.34
USA,2025,Retail,26.57,16.33,27.7,77.03
USA,2025,Marketing,45.3,3.03,24.96,78.13
USA,2025,Retail,38.21,36.85,8.52,24.88
USA,2025,Gaming,29.49,13.89,4.19,46.4
